Name,category
White Rice,0
Polished Indian Rice,0
Indian Rice,0
Himalaya Long Grain Basmati Rice Choppy,0
Miniket Special Rice,0
Idly Rice ( BULK ORDER ONLY),0
Pr11/14 Steam,0
Forest Elephant Rice / Kattuyanam Rice,0
Sri Rk Kedia Rice 1 Yr Old,0
Rajmudi Rice,0
Sona Broken Rice,0
Kuruva Rice (Cherumani),0
Idly rice,0
IR64 Non-Basmati Raw Rice,0
Idly Rice,0
Indian Long Grain White Rice,0
Golden Sella Rice,0
Parboiled Rice,0
5% Broken Rice,0
Rice,0
Non Basmati Rice Bulk Shipment Inquiries Only( SONA MASURI BOILED RICE),0
"Rejection Rice For Feeds ( Bulk Shipment Exports Orders),...",0
"White Raw Rice( Bulk Quantity Export Reference Only), Pp Bag",0
"White Raw Rice ( Bulk Volume Business Only), Pp Bag",0
"Indian Organic Joha Rice - Brown, High in Protein, Partial Polished",0
Brown Basmati Rice,0
"India Ir-64 Long Grain Rice, Size: 6.00 Mm",0
"1 Kg White Swarna Parboiled Rice, Packaging: Jute Bag",0
"Indian Steam White Basmati Rice, Packaging: 10-20 Kg",0
"Indian Ramarajyam Red - Tanjore Ponni Boiled Rice, Packaging Type: PP Bag, Packaging Size: 25kg",0
"Ramarajyam Green - Akshya Ponni Rnr Boiled Rice, Packaging Type:...",0
"Ramajeyam Best Sona Masoori Rajabhogam Ponni Boiled Rice, Soft,...",0
"Golden Ramarajyam Black - Raw Kolam Bullet Rice, Packaging Size:...",0
"WHITE Gobindobhog Thalassery Biriyani Rice, Jute Bag",0
"Hello Earth Black Rice, Packaging Type: Plastic Bag, Packaging Size: 25 Kg",0
"Pusa Basmati Custom PR-106 Sella, Punjab",0
"White Nattu Ponni, Packaging Size: 25kg Pack, Packaging Type: PP Bag",0
5kg Anti-diabetic Brown Rice,0
"Extra Long-Grain Rice PARBOILED RICE, Packaging Type Available: PP Bag, Packaging Size Available: 25 Kg",0
PR11 Steam Non-Basmati Rice,0
Ir64 Non-basmati Raw Rice,0
Ir64 Non-basmati Parboiled Rice,0
Sharbati Golden Sella Basmati Rice,0
"Golden Organic Semi Brown Idly Rava Rice, Packaging Type: Plastic Bag, Packaging Size: 25 Kg",0
"Premium Quality Sugar Free Brown Rice, Pp Bag",0
"Brown Low Gi Diabetic Organic Hand Pound Rice, Pp Bag",0
"Premium Quality Sugar Free White Rice, Packet, Packaging Size: 1 Kg",0
"Seeraga Samba Rice, Packaging Size: 10-25 kg",0
White Indian Parboiled Rice,0
"Basmati 386 Indian White Rice, Packaging Size: 20kg",0
"Creamy White Indian Basmati Rice, Packaging Size: 20kg",0
"Silver Ir-64 Rice, Packaging Size: 500 G, Jute Bag",0
"Golden Parboiled Rice, Plastic Bag",0
"25 kg Golden Sella 1121 Basmati Rice, Packaging: Plastic Bag",0
"Creamy White Basmati Sella Rice, Packaging: 10 To 20 Kg",0
"Golden Sella Basmati Rice, 25 Kg",0
"India Indian Non Basmati Rice, Packaging Type: Plastic Bag,...",0
Medium Grain White Rice,0
Small Grain Parboiled Rice,0
"1121 White Sella Rice, Packaging: PP Bag",0
1509 Basmati White Sella Rice,0
Indian Eco Rice 100% Broken Ir64 Parboiled Rice,0
